#,運航会社,便名,出発地,出発時刻,到着地,到着時刻,区間マイル,アクション,料金
90,JAL,182,小松,7:45,東京(羽田),8:50,211,,9790
91,JAL,252,広島,7:45,東京(羽田),9:05,414,,12540
92,JAL,3910,札幌(新千歳),7:45,大阪(伊丹),9:45,666,,11990
93,J-AIR,291,東京(羽田),7:45,山口宇部,9:30,510,,13200
94,FDA,4471,福岡,7:45,札幌(新千歳),10:05,882,,12650
95,JAL,640,鹿児島,7:45,東京(羽田),9:20,601,,14410
96,JAL,373,東京(羽田),7:50,北九州,9:40,534,,13310
97,JAC,3791,鹿児島,7:50,徳之島,9:15,296,,15070
98,JAL,662,大分,7:50,東京(羽田),9:20,499,,15070
99,J-AIR,2901,仙台,7:50,札幌(新千歳),9:00,335,,11000
100,HAC,2740,函館,7:50,札幌(丘珠),8:30,90,,7700
101,JAL,153,東京(羽田),7:50,三沢,9:15,355,,13750
102,J-AIR,2171,大阪(伊丹),7:55,秋田,9:15,439,,11000
103,FDA,4312,静岡,8:00,福岡,9:50,451,,20570
104,JAL,541,東京(羽田),8:00,釧路,9:30,555,,13640
105,FDA,4383,名古屋(小牧),8:00,福岡,9:35,374,,17050
106,JAL,307,東京(羽田),8:00,福岡,10:00,567,,14410
107,HAC,2861,札幌(丘珠),8:00,釧路,8:45,136,,7700
108,JAL,905,東京(羽田),8:00,沖縄(那覇),10:55,984,,13860
109,RAC,801,沖縄(那覇),8:00,宮古,8:55,177,,7150
110,RAC,861,沖縄(那覇),8:00,南大東,8:55,225,,13420
111,JAL,661,東京(羽田),8:00,大分,9:40,499,,15070
112,JAL,2001,大阪(伊丹),8:00,札幌(新千歳),9:45,666,,11990
113,JAL,3941,大阪(伊丹),8:05,沖縄(那覇),10:30,739,,13200
114,FDA,4341,福岡,8:05,松本,9:30,461,,25630
115,JAL,643,東京(羽田),8:05,鹿児島,9:55,601,,14410
116,JAL,625,東京(羽田),8:05,熊本,9:55,568,,15070
117,JAL,231,東京(羽田),8:05,岡山,9:30,356,,11880
118,JAL,505,東京(羽田),8:05,札幌(新千歳),9:35,510,,13750
119,J-AIR,2233,大阪(伊丹),8:05,山形,9:20,385,,11220
120,JAC,3761,鹿児島,8:10,種子島,8:50,88,,9240
121,FDA,4421,名古屋(小牧),8:10,青森,9:30,465,,21010
122,JAL,201,東京(羽田),8:10,名古屋(中部),9:10,193,,8360
123,JAL,2081,大阪(伊丹),8:15,沖縄(那覇),10:35,739,,13200
124,J-AIR,3953,大阪(伊丹),8:20,鹿児島,9:35,329,,10670
125,JAL,687,東京(羽田),8:20,宮崎,10:10,561,,15070
126,JTA,1,大阪(関西),8:20,沖縄(那覇),10:45,739,,13200
127,JAL,3082,名古屋(中部),8:20,東京(成田),9:30,193,,8360
128,HAC,2743,札幌(丘珠),8:25,函館,9:05,90,,7700
129,HAC,2881,札幌(丘珠),8:25,利尻,9:20,159,,9020
130,J-AIR,2344,出雲,8:25,大阪(伊丹),9:10,148,,10230
131,JAL,304,福岡,8:25,東京(羽田),10:00,567,,14410
132,JAL,3101,名古屋(中部),8:30,札幌(新千歳),10:10,614,,12100
133,J-AIR,2301,大阪(伊丹),8:30,松山,9:25,159,,11330
134,J-AIR,3624,宮崎,8:30,福岡,9:20,131,,6490
135,FDA,4411,名古屋(小牧),8:30,花巻,9:40,409,,21010
136,JAL,907,東京(羽田),8:30,沖縄(那覇),11:20,984,,13860
137,JAL,106,大阪(伊丹),8:30,東京(羽田),9:35,280,,10120
138,FDA,4301,静岡,8:30,熊本,10:25,448,,25850
139,JTA,2052,沖縄(那覇),8:30,福岡,10:10,537,,15730
140,JTA,13,岡山,8:30,沖縄(那覇),10:40,690,,20570
141,JAL,4052,対馬,8:35,長崎,9:15,98,,12210
142,JAL,107,東京(羽田),8:35,大阪(伊丹),9:45,280,,10120
143,JTA,45,名古屋(中部),8:40,沖縄(那覇),11:10,809,,15290
144,J-AIR,2362,大分,8:40,大阪(伊丹),9:35,219,,9790
145,J-AIR,162,秋田,8:40,東京(羽田),9:55,279,,11110
146,JAC,3725,鹿児島,8:45,奄美大島,10:00,242,,14410
147,HAC,2742,函館,8:45,札幌(丘珠),9:25,90,,7700
148,RAC,872,久米島,8:45,沖縄(那覇),9:20,59,,5500
149,J-AIR,2240,新潟,8:45,大阪(伊丹),9:55,314,,9680
150,J-AIR,2710,女満別,8:50,札幌(新千歳),9:35,148,,7370
151,JAL,4080,対馬,8:50,福岡,9:25,81,,11220
152,JAL,502,札幌(新千歳),8:50,東京(羽田),10:30,510,,13750
153,JAL,3891,福岡,8:50,天草,9:25,78,,14740
154,JAL,255,東京(羽田),8:50,広島,10:15,414,,12540
155,JAC,3741,鹿児島,8:50,屋久島,9:30,102,,9020
156,J-AIR,3722,奄美大島,8:50,鹿児島,9:40,242,,14410
157,J-AIR,3793,鹿児島,8:50,徳之島,9:55,296,,15070
158,JTA,600,石垣,8:55,沖縄(那覇),9:55,247,,7590
159,JAL,254,広島,8:55,東京(羽田),10:10,414,,12540
160,JAL,507,東京(羽田),8:55,札幌(新千歳),10:30,510,,13750
161,FDA,4462,出雲,8:55,名古屋(小牧),9:50,226,,17380
162,J-AIR,2432,宮崎,8:55,大阪(伊丹),9:55,292,,10340
163,JTA,552,宮古,8:55,沖縄(那覇),9:45,177,,7150
164,JAL,2000,札幌(新千歳),8:55,大阪(伊丹),10:55,666,,11990
165,JAL,4041,長崎,8:55,壱岐,9:25,60,,9350
166,JAC,2323,大阪(伊丹),9:00,但馬,9:40,68,,8360
167,J-AIR,2402,鹿児島,9:00,大阪(伊丹),10:05,329,,10670
168,J-AIR,2234,山形,9:00,大阪(伊丹),10:25,385,,11220
169,FDA,4529,福岡,9:00,仙台,10:50,665,,16830
170,JTA,184,小松,9:00,東京(羽田),10:05,211,,9790
171,JAC,3433,出雲,9:00,隠岐,9:30,65,,11550
172,JAL,309,東京(羽田),9:05,福岡,11:05,567,,14410
173,J-AIR,3591,福岡,9:05,松山,9:45,131,,12980
174,FDA,4337,静岡,9:05,出雲,10:25,304,,17050
175,JAL,454,徳島,9:05,東京(羽田),10:15,329,,12760
176,FDA,4423,名古屋(小牧),9:05,青森,10:25,465,,21010
177,RAC,742,与那国,9:05,石垣,9:35,80,,9350
178,HAC,2721,札幌(丘珠),9:05,女満別,9:50,148,,7370
179,JAL,3911,大阪(伊丹),9:10,札幌(新千歳),11:00,666,,11990
180,JAL,311,東京(羽田),9:10,福岡,11:10,567,,14410
181,J-AIR,2372,長崎,9:10,大阪(伊丹),10:20,330,,10230
182,FDA,4382,福岡,9:10,名古屋(小牧),10:30,374,,17050
183,J-AIR,2202,仙台,9:10,大阪(伊丹),10:35,396,,10780
184,J-AIR,2382,熊本,9:10,大阪(伊丹),10:15,290,,10890
185,J-AIR,2180,花巻,9:10,大阪(伊丹),10:40,474,,16500
186,FDA,4512,高知,9:10,名古屋(中部),10:05,201,,15620
187,JAL,642,鹿児島,9:10,東京(羽田),10:45,601,,14410
188,JAC,3780,喜界島,9:15,鹿児島,10:20,246,,13530
189,J-AIR,2405,大阪(伊丹),9:15,鹿児島,10:30,329,,10670
190,FDA,4441,名古屋(小牧),9:15,山形,10:20,315,,20680
191,JAL,142,青森,9:15,東京(羽田),10:35,358,,14300
192,JAL,624,熊本,9:15,東京(羽田),10:45,568,,15070
193,HAC,2860,釧路,9:15,札幌(丘珠),10:05,136,,7700
194,JAC,3760,種子島,9:20,鹿児島,9:55,88,,9240
195,JAL,477,東京(羽田),9:20,高松,10:40,354,,13310
196,J-AIR,2053,大阪(伊丹),9:20,福岡,10:35,287,,8690
197,FDA,4400,熊本,9:20,名古屋(小牧),10:40,375,,18370
198,JAL,185,東京(羽田),9:20,小松,10:25,211,,9790
199,J-AIR,3581,福岡,9:20,高知,10:10,187,,16060
200,J-AIR,2903,仙台,9:20,札幌(新千歳),10:35,335,,11000
201,JAC,3800,沖永良部,9:20,鹿児島,10:35,326,,17380
202,RAC,891,宮古,9:25,多良間,9:50,39,,6710
203,JAL,278,出雲,9:25,東京(羽田),10:40,405,,15620
204,JAC,3831,奄美大島,9:25,喜界島,9:45,16,,7480
205,RAC,862,南大東,9:25,沖縄(那覇),10:30,225,,13420
206,JAL,306,福岡,9:25,東京(羽田),11:00,567,,14410
207,JAL,663,東京(羽田),9:30,大分,11:10,499,,15070
208,JAL,562,女満別,9:30,東京(羽田),11:30,609,,14410
209,JTA,53,福岡,9:30,沖縄(那覇),11:20,537,,15730
210,JAL,111,東京(羽田),9:30,大阪(伊丹),10:40,280,,10120
211,JAL,607,東京(羽田),9:30,長崎,11:30,610,,16940
212,JAL,212,南紀白浜,9:30,東京(羽田),10:35,303,,16720
213,J-AIR,2203,大阪(伊丹),9:30,仙台,10:40,396,,10780
214,JAL,432,松山,9:30,東京(羽田),10:50,438,,13750
215,JAL,2501,大阪(関西),9:35,札幌(新千歳),11:25,666,,11990
216,J-AIR,2831,札幌(新千歳),9:35,花巻,10:30,226,,12760
217,HAC,2744,函館,9:35,札幌(丘珠),10:15,90,,7700
218,JAL,110,大阪(伊丹),9:35,東京(羽田),10:40,280,,10120
219,JAL,493,東京(羽田),9:35,高知,11:00,393,,13090
220,J-AIR,2150,青森,9:40,大阪(伊丹),11:15,523,,12100
221,JAL,433,東京(羽田),9:40,松山,11:15,438,,13750
222,JAL,909,東京(羽田),9:40,沖縄(那覇),12:40,984,,13860
223,J-AIR,2161,大阪(伊丹),9:40,三沢,11:10,536,,16280
224,JAC,3842,徳之島,9:45,奄美大島,10:15,65,,10450
225,JAL,584,函館,9:45,東京(羽田),11:15,424,,13200
226,JAL,279,東京(羽田),9:45,出雲,11:10,405,,15620
227,JAL,492,高知,9:45,東京(羽田),11:00,393,,13090
228,JAL,143,東京(羽田),9:50,青森,11:10,358,,14300
229,JAL,4073,長崎,9:50,五島福江,10:20,67,,10230
230,JTA,83,大阪(関西),9:50,石垣,12:40,969,,17930
231,J-AIR,2172,秋田,9:50,大阪(伊丹),11:20,439,,11000
232,JAL,476,高松,9:50,東京(羽田),11:00,354,,13310
233,HAC,2880,利尻,9:50,札幌(丘珠),10:40,159,,9020
234,J-AIR,174,山形,9:50,東京(羽田),11:00,190,,10780
235,JAL,509,東京(羽田),9:55,札幌(新千歳),11:30,510,,13750
236,J-AIR,3563,福岡,9:55,徳島,11:00,242,,13530
237,JTA,605,沖縄(那覇),9:55,石垣,10:55,247,,7590
238,JAL,4042,壱岐,9:55,長崎,10:25,60,,9350
239,JAL,504,札幌(新千歳),9:55,東京(羽田),11:40,510,,13750
240,JAL,2465,大阪(伊丹),9:55,奄美大島,11:40,541,,11110
241,RAC,873,沖縄(那覇),9:55,久米島,10:25,59,,5500
242,J-AIR,2300,松山,9:55,大阪(伊丹),10:45,159,,11330
243,HAC,2733,札幌(丘珠),9:55,根室中標津,10:45,178,,7920
244,JAL,3872,天草,9:55,熊本,10:15,42,,8470
245,JAL,4081,福岡,9:55,対馬,10:30,81,,11220
246,JAC,3434,隠岐,10:00,出雲,10:30,65,,11550
247,JAL,313,東京(羽田),10:00,福岡,12:00,567,,14410
248,J-AIR,689,東京(羽田),10:00,宮崎,11:50,561,,15070
249,JAL,308,福岡,10:00,東京(羽田),11:40,567,,14410
250,JAL,152,三沢,10:00,東京(羽田),11:25,355,,13750
251,J-AIR,292,山口宇部,10:05,東京(羽田),11:35,510,,13200
252,JAL,257,東京(羽田),10:05,広島,11:30,414,,12540
253,JAC,3740,屋久島,10:05,鹿児島,10:40,102,,9020
254,JAL,645,東京(羽田),10:05,鹿児島,11:55,601,,14410
255,J-AIR,3954,鹿児島,10:05,大阪(伊丹),11:10,329,,10670
256,RAC,741,石垣,10:05,与那国,10:35,80,,9350
257,JAL,552,旭川,10:05,東京(羽田),12:00,576,,14190
258,FDA,4315,福岡,10:05,静岡,11:30,451,,20570
259,FDA,4422,青森,10:05,名古屋(小牧),11:35,465,,21010
260,FDA,4362,松本,10:05,大阪(神戸),11:10,183,,17050
261,HAC,2745,札幌(丘珠),10:10,函館,10:50,90,,7700
262,JAL,570,帯広,10:10,東京(羽田),12:00,526,,14190
263,JAL,608,長崎,10:10,東京(羽田),11:45,610,,16940
264,JAC,2324,但馬,10:10,大阪(伊丹),10:45,68,,8360
265,J-AIR,2803,札幌(新千歳),10:10,青森,11:00,153,,8250
266,JAL,627,東京(羽田),10:10,熊本,12:00,568,,15070
267,JAC,3830,喜界島,10:15,奄美大島,10:35,16,,7480
268,J-AIR,2385,大阪(伊丹),10:15,熊本,11:30,290,,10890
269,JAL,455,東京(羽田),10:15,徳島,11:35,329,,12760
270,J-AIR,3592,松山,10:15,福岡,11:10,131,,12980
271,JAL,234,岡山,10:15,東京(羽田),11:25,356,,11880
272,FDA,4412,花巻,10:15,名古屋(小牧),11:40,409,,21010
273,J-AIR,3727,鹿児島,10:20,奄美大島,11:20,242,,14410
274,JAL,902,沖縄(那覇),10:20,東京(羽田),12:35,984,,13860
275,FDA,4433,名古屋(小牧),10:20,新潟,11:15,249,,18920
276,HAC,2720,女満別,10:20,札幌(丘珠),11:10,148,,7370
277,JAL,511,東京(羽田),10:20,札幌(新千歳),11:55,510,,13750
278,JAL,540,釧路,10:20,東京(羽田),12:10,555,,13640
279,JAL,374,北九州,10:25,東京(羽田),11:50,534,,13310
280,FDA,4345,福岡,10:25,松本,11:50,461,,25630
281,JAL,3106,札幌(新千歳),10:25,名古屋(中部),12:15,614,,12100
282,RAC,892,多良間,10:25,宮古,10:50,39,,6710
283,J-AIR,3792,徳之島,10:25,鹿児島,11:15,296,,15070
284,JAC,3743,鹿児島,10:30,屋久島,11:10,102,,9020
285,JAL,913,東京(羽田),10:30,沖縄(那覇),13:20,984,,13860
286,JTA,52,沖縄(那覇),10:30,福岡,12:10,537,,15730
287,JAL,3083,東京(成田),10:30,名古屋(中部),11:40,193,,8360
288,JAL,664,大分,10:30,東京(羽田),11:55,499,,15070
289,J-AIR,2243,大阪(伊丹),10:30,新潟,11:30,314,,9680
290,J-AIR,2365,大阪(伊丹),10:30,大分,11:30,219,,9790
291,RAC,823,沖縄(那覇),10:35,与論,11:15,74,,12430
292,JAL,626,熊本,10:35,東京(羽田),12:10,568,,15070
293,JAL,113,東京(羽田),10:35,大阪(伊丹),11:45,280,,10120
294,J-AIR,163,東京(羽田),10:35,秋田,11:50,279,,11110
295,JTA,557,沖縄(那覇),10:40,宮古,11:35,177,,7150
296,J-AIR,2351,大阪(伊丹),10:40,出雲,11:30,148,,10230
297,FDA,4483,札幌(新千歳),10:40,新潟,12:05,369,,9790
298,FDA,4521,名古屋(中部),10:40,出雲,11:45,226,,17380
299,JAL,233,東京(羽田),10:40,岡山,12:00,356,,11880
300,JAL,506,札幌(新千歳),10:40,東京(羽田),12:25,510,,13750
301,J-AIR,3582,高知,10:40,福岡,11:45,187,,16060
302,JTA,972,石垣,10:40,東京(羽田),13:20,1224,,17050
303,JAC,3724,奄美大島,10:45,鹿児島,11:55,242,,14410
304,JAL,112,大阪(伊丹),10:45,東京(羽田),11:55,280,,10120
305,JAL,3880,熊本,10:45,大阪(伊丹),12:00,290,,10890
306,J-AIR,2205,大阪(伊丹),10:45,仙台,11:55,396,,10780
307,JTA,933,東京(羽田),10:45,宮古,14:05,1158,,18700
308,JTA,607,沖縄(那覇),10:45,石垣,11:50,247,,7590
309,HAC,2823,札幌(丘珠),10:45,秋田,11:55,238,,8800
310,JAL,4094,五島福江,10:50,福岡,11:35,113,,14080
311,J-AIR,155,東京(羽田),10:50,三沢,12:10,355,,13750
312,RAC,874,久米島,10:55,沖縄(那覇),11:30,59,,5500
313,JAL,690,宮崎,10:55,東京(羽田),12:25,561,,15070
314,JTA,2055,福岡,10:55,沖縄(那覇),12:45,537,,15730
315,FDA,4402,熊本,10:55,名古屋(小牧),12:15,375,,18370
316,JAC,3841,奄美大島,10:55,徳之島,11:30,65,,10450
317,FDA,4490,山形,10:55,札幌(新千歳),12:05,321,,18700
318,JAL,3403,広島,10:55,札幌(新千歳),12:50,749,,12650
319,JAL,4053,長崎,11:00,対馬,11:35,98,,12210
320,JAL,644,鹿児島,11:00,東京(羽田),12:35,601,,14410
321,JAL,315,東京(羽田),11:00,福岡,13:00,567,,14410
322,JAC,3550,出雲,11:00,福岡,12:15,188,,13530
323,JAL,3510,札幌(新千歳),11:00,福岡,13:40,882,,12650
324,J-AIR,2407,大阪(伊丹),11:00,鹿児島,12:15,329,,10670
325,FDA,4500,青森,11:00,大阪(神戸),12:50,523,,12100
326,JAL,310,福岡,11:00,東京(羽田),12:40,567,,14410
327,JAC,3763,鹿児島,11:00,種子島,11:40,88,,9240
328,JAL,4084,対馬,11:00,福岡,11:35,81,,11220
329,JAL,575,東京(羽田),11:00,帯広,12:35,526,,14190
330,FDA,4443,名古屋(小牧),11:05,山形,12:10,315,,20680
331,J-AIR,2830,花巻,11:05,札幌(新千歳),12:05,226,,12760
332,JAL,3942,沖縄(那覇),11:05,大阪(伊丹),12:55,739,,13200
333,J-AIR,2406,鹿児島,11:05,大阪(伊丹),12:10,329,,10670
334,FDA,4425,名古屋(小牧),11:05,青森,12:25,465,,21010
335,JTA,556,宮古,11:05,沖縄(那覇),11:55,177,,7150
336,J-AIR,2902,札幌(新千歳),11:10,仙台,12:20,335,,11000
337,J-AIR,2123,大阪(伊丹),11:10,函館,12:40,578,,12650
338,JAL,553,東京(羽田),11:10,旭川,12:50,576,,14190
339,J-AIR,2433,大阪(伊丹),11:10,宮崎,12:20,292,,10340
340,FDA,4336,出雲,11:10,静岡,12:20,304,,17050
341,JAL,904,沖縄(那覇),11:15,東京(羽田),13:30,984,,13860
342,J-AIR,3595,福岡,11:15,松山,12:05,131,,12980
343,JAL,186,小松,11:15,東京(羽田),12:20,211,,9790
344,HAC,2732,根室中標津,11:15,札幌(丘珠),12:10,178,,7920
345,RAC,841,沖縄(那覇),11:15,北大東,12:15,229,,13420
346,JAC,3745,鹿児島,11:15,屋久島,11:55,102,,9020
